V_G,V_D,I_D1,I_D2,I_D3,I_D4,I_D5,I_D6,I_D7,I_D8,I_D9,I_D10,I_D11
4,0,0,0,0,0,0,0,0,0,0,0,0
5.6,0.1,0.1,0.2,0.3,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.9
7.2,0.2,0.1,0.3,0.6,0.9,1.1,1.3,1.5,1.5,1.6,1.6,1.7
8.8,0.3,0.2,0.5,0.9,1.3,1.7,2,2.2,2.3,2.4,2.5,2.6
10.4,0.4,0.2,0.6,1.1,1.7,2.2,2.6,2.9,3.1,3.3,3.4,3.4
12,0.5,0.2,0.7,1.4,2.1,2.7,3.3,3.7,3.9,4.2,4.3,4.4
13.6,0.6,0.3,0.8,1.6,2.5,3.3,3.9,4.4,4.8,5,5.2,5.4
15.2,0.7,0.3,0.9,1.8,2.8,3.8,4.6,5.2,5.6,5.9,6.1,6.3
16.8,0.8,0.3,1,2,3.2,4.3,5.2,6,6.5,6.8,7.1,7.3
18.4,0.9,0.3,1,2.2,3.5,4.7,5.9,6.7,7.3,7.7,8,8.2
20,1,0.3,1.1,2.3,3.8,5.2,6.4,7.4,8.1,8.6,9,9.2
,1.1,0.3,1.1,2.5,4.1,5.7,7.1,8.2,8.9,9.5,9.9,10.2
,1.2,0.3,1.2,2.6,4.4,6.1,7.6,8.9,9.8,10.4,10.8,11.2
,1.3,0.4,1.3,2.7,4.6,6.6,8.2,9.6,10.6,11.3,11.8,12.2
,1.4,0.3,1.2,2.9,4.9,7,8.9,10.3,11.4,12.1,12.7,13.1
,1.5,0.3,1.3,3,5.1,7.4,9.4,10.9,12.2,13,13.6,14.1
,1.6,0.3,1.3,3.1,5.4,7.7,9.9,11.7,12.9,13.9,14.5,15
,1.7,0.4,1.4,3.2,5.5,8.1,10.4,12.3,13.7,14.7,15.5,16
,1.8,0.4,1.4,3.3,5.8,8.4,10.9,13,14.5,15.6,16.3,16.9
,1.9,0.4,1.4,3.3,6,8.8,11.5,13.6,15.2,16.4,17.2,17.8
,2,0.4,1.4,3.4,6.2,9.2,11.9,14.3,16,17.2,18.1,18.8
,2.1,0.4,1.5,3.5,6.3,9.4,12.4,14.9,16.7,18,19,19.7
,2.2,0.4,1.5,3.6,6.5,9.8,12.9,15.5,17.4,18.8,19.8,20.6
,2.3,0.4,1.5,3.7,6.7,10.1,13.3,16,18.2,19.6,20.7,21.5
,2.4,0.4,1.5,3.7,6.8,10.3,13.7,16.7,18.8,20.4,21.5,22.4
,2.5,0.3,1.5,3.8,7,10.6,14.2,17.2,19.5,21.2,22.4,23.2
,2.6,0.4,1.6,3.8,7.1,10.9,14.6,17.8,20.2,21.9,23.2,24.1
,2.7,0.4,1.6,3.9,7.2,11.1,15,18.3,20.9,22.7,24,25
,2.8,0.4,1.6,3.9,7.3,11.4,15.4,18.9,21.6,23.4,24.8,25.8
,2.9,0.4,1.6,4,7.5,11.6,15.8,19.4,22.2,24.2,25.6,26.6
,3,0.4,1.6,4.1,7.6,11.9,16.1,19.9,22.8,24.9,26.4,27.5
,3.1,0.4,1.6,4.1,7.7,12.1,16.5,20.5,23.5,25.6,27.1,28.2
,3.2,0.4,1.7,4.1,7.8,12.3,16.9,20.9,24.1,26.3,27.9,29.1
,3.3,0.4,1.6,4.2,7.9,12.5,17.2,21.4,24.7,27,28.7,29.8
,3.4,0.4,1.6,4.2,8,12.7,17.6,21.9,25.2,27.7,29.4,30.6
,3.5,0.4,1.7,4.2,8.1,13,17.9,22.4,25.8,28.3,30.1,31.4
,3.6,0.4,1.7,4.3,8.3,13.1,18.3,22.9,26.4,29,30.8,32.1
,3.7,0.4,1.7,4.3,8.3,13.3,18.5,23.3,27,29.6,31.5,32.9
,3.8,0.4,1.7,4.3,8.4,13.5,18.9,23.7,27.6,30.2,32.2,33.6
,3.9,0.4,1.7,4.4,8.5,13.7,19.2,24.2,28.1,30.9,32.9,34.3
,4,0.4,1.7,4.4,8.6,13.8,19.5,24.6,28.6,31.5,33.6,35
,4.1,0.4,1.7,4.4,8.7,14,19.7,25,29.2,32.1,34.2,35.7
,4.2,0.4,1.7,4.5,8.7,14.1,20.1,25.5,29.7,32.6,34.9,36.4
,4.3,0.4,1.8,4.5,8.8,14.3,20.3,25.9,30.2,33.3,35.4,37.1
,4.4,0.4,1.7,4.5,8.9,14.5,20.6,26.2,30.7,33.8,36.1,37.8
,4.5,0.4,1.7,4.5,8.9,14.6,20.8,26.6,31.2,34.4,36.7,38.4
,4.6,0.4,1.8,4.6,9,14.8,21.1,27,31.6,35,37.3,39
,4.7,0.4,1.8,4.6,9,14.9,21.3,27.4,32.1,35.5,38,39.7
,4.8,0.4,1.8,4.6,9.1,15.1,21.6,27.7,32.6,36,38.5,40.3
,4.9,0.4,1.7,4.6,9.2,15.2,21.8,28.1,33,36.5,39.1,40.9
,5,0.4,1.7,4.6,9.3,15.3,22.1,28.4,33.4,37.1,39.7,41.5
,5.1,0.4,1.8,4.7,9.3,15.5,22.3,28.8,33.9,37.6,40.2,42.1
,5.2,0.4,1.8,4.7,9.3,15.6,22.5,29.1,34.4,38.1,40.8,42.7
,5.3,0.4,1.8,4.7,9.4,15.7,22.8,29.5,34.8,38.6,41.3,43.3
,5.4,0.4,1.8,4.7,9.5,15.9,23,29.8,35.2,39.1,41.9,43.9
,5.5,0.4,1.8,4.7,9.5,15.9,23.2,30.1,35.7,39.6,42.4,44.4
,5.6,0.4,1.8,4.8,9.6,16.1,23.4,30.4,36.1,40.1,42.9,45
,5.7,0.4,1.8,4.7,9.6,16.2,23.6,30.8,36.5,40.5,43.5,45.5
,5.8,0.4,1.8,4.8,9.7,16.3,23.8,31,36.8,41,44,46
,5.9,0.5,1.8,4.8,9.7,16.4,24,31.3,37.2,41.5,44.4,46.6
,6,0.4,1.8,4.8,9.7,16.5,24.2,31.6,37.6,41.9,45,47.1
,6.1,0.4,1.8,4.8,9.8,16.6,24.4,31.9,38,42.3,45.4,47.6
