VDS,Ciss,Coss,Crss
0,3130,2647,1454
0.1,3114.8592,2595.67359,1429.277173
0.2,3095.294933,2541.959431,1400.78995
0.3,3071.6944,2485.95513,1368.810214
0.4,3044.4448,2427.758293,1333.60985
0.5,3013.933333,2367.466527,1295.460742
0.6,2980.5472,2305.177439,1254.634775
0.7,2944.6736,2240.988636,1211.403833
0.8,2906.699733,2174.997724,1166.0398
0.9,2867.0128,2107.30231,1118.814561
1,2826,2038,1070
1.1,2776.200507,1961.594179,1012.833939
1.2,2712.494247,1874.785346,942.8748665
1.3,2638.779549,1780.966783,863.875667
1.4,2558.954741,1683.53177,779.5892248
1.5,2476.918152,1585.873589,693.7684243
1.6,2396.568111,1491.385521,610.1661499
1.7,2321.802947,1403.460847,532.5352858
1.8,2256.520987,1325.492848,464.6287166
1.9,2204.620562,1260.874805,410.1993265
2,2170,1213,373
2.1,2146.408878,1176.302261,346.8582301
2.2,2124.934799,1142.803389,323.0292625
2.3,2105.483133,1112.278619,301.4076106
2.4,2087.959249,1084.503189,281.8877876
2.5,2072.268515,1059.252335,264.3643068
2.6,2058.316299,1036.301295,248.7316814
2.7,2046.007971,1015.425304,234.8844248
2.8,2035.2489,996.3996006,222.7170501
2.9,2025.944453,978.9994202,212.1240708
3,2018,963,203
3.1,2011.078548,948.2574212,194.9595571
3.2,2004.850658,934.6869467,187.6425157
3.3,1999.233034,922.1525855,180.9809706
3.4,1994.142375,910.5183469,174.9070163
3.5,1989.495385,899.64824,169.3527475
3.6,1985.208763,889.4062738,164.2502589
3.7,1981.199212,879.6564576,159.5316452
3.8,1977.383434,870.2628005,155.129001
3.9,1973.678129,861.0893116,150.9744211
4,1970,852,147
4.1,1966.282915,843.0626109,143.1978488
4.2,1962.558057,834.4284793,139.5990698
4.3,1958.888097,826.0869994,136.1942442
4.4,1955.335709,818.0275655,132.9739535
4.5,1951.963563,810.2395717,129.9287791
4.6,1948.834332,802.7124121,127.0493023
4.7,1946.010688,795.435481,124.3261047
4.8,1943.555304,788.3981725,121.7497674
4.9,1941.53085,781.5898807,119.3108721
5,1940,775,117
5.1,1938.829077,768.6288984,114.8031
5.2,1937.822217,762.4730422,112.7088
5.3,1936.948805,756.5159729,110.7117
5.4,1936.178229,750.7412319,108.8064
5.5,1935.479876,745.1323606,106.9875
5.6,1934.823133,739.6729005,105.2496
5.7,1934.177387,734.3463929,103.5873
5.8,1933.512025,729.1363794,101.9952
5.9,1932.796433,724.0264013,100.4679
6,1932,719,99
6.1,1931.126682,714.0580198,97.59017143
6.2,1930.210165,709.2126733,96.23794286
6.3,1929.264424,704.4645545,94.9392
6.4,1928.303435,699.8142574,93.68982857
6.5,1927.341176,695.2623762,92.48571429
6.6,1926.391624,690.809505,91.32274286
6.7,1925.468753,686.4562376,90.1968
6.8,1924.586541,682.2031683,89.10377143
6.9,1923.758965,678.0508911,88.03954286
7,1923,674,87
7.1,1922.292,670.0465455,85.98573214
7.2,1921.608,666.1832727,84.99942857
7.3,1920.948,662.4058182,84.040125
7.4,1920.312,658.7098182,83.10685714
7.5,1919.7,655.0909091,82.19866071
7.6,1919.112,651.5447273,81.31457143
7.7,1918.548,648.0669091,80.453625
7.8,1918.008,644.6530909,79.61485714
7.9,1917.492,641.2989091,78.79730357
8,1917,638,78
8.1,1916.5352,634.7598052,77.218625
8.2,1916.0976,631.5823377,76.45066667
8.3,1915.6824,628.4640909,75.697875
8.4,1915.2848,625.4015584,74.962
8.5,1914.9,622.3912338,74.24479167
8.6,1914.5232,619.4296104,73.548
8.7,1914.1496,616.5131818,72.873375
8.8,1913.7744,613.6384416,72.22266667
8.9,1913.3928,610.8018831,71.597625
9,1913,608,71
9.1,1912.592421,605.2271791,70.4253
9.2,1912.173053,602.4826685,69.86773333
9.3,1911.746947,599.7702536,69.3271
9.4,1911.319158,597.0937198,68.8032
9.5,1910.894737,594.4568524,68.29583333
9.6,1910.478737,591.8634368,67.8048
9.7,1910.076211,589.3172584,67.3299
9.8,1909.692211,586.8221025,66.87093333
9.9,1909.331789,584.3817546,66.4277
10,1909,582,66
12,1904,540,59
14,1901,506,54
16,1898,478,50
18,1896,455,47
20,1894,434,45
22,1892,416,43
24,1891,401,41
26,1889,387,40
28,1888,375,38
30,1887,363,37
35,1885,339,35
40,1883,319,33
45,1881,302,31
50,1879,288,30
60,1877,265,28
70,1874,247,26
80,1872,232,25
90,1870,219,24
100,1868,209,23
150,1861,173,20
200,1855,150,18
300,1846,124,15
400,1839,108,14
500,1833,97,13
750,1825,79,12
800,1824,77,12
1000,1820,74,12
